SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
5,4,4,51,1,2,6,2,2,3,3,0,2,4,3,3,1,1,2,7,1,4,8
6,6,7,57,1,2,3,2,2,3,3,0,2,4,2,3,1,1,4,8,1,2,3
6,6,6,62,1,2,5,2,2,3,5,0,3,4,3,3,1,2,4,8,1,2,4
5,6,7,39,3,1,3,1,3,4,4,1,7,3,3,4,1,2,1,4,3,2,4
5,5,5,36,1,1,99,1,3,2,3,1,8,7,1,3,1,2,1,5,2,4,8
7,7,7,81,1,2,7,2,2,4,4,0,2,4,3,4,3,1,4,6,1,4,9
6,6,7,44,1,1,99,1,3,2,2,1,8,8,1,2,1,2,1,7,2,3,6
6,6,4,52,2,2,99,2,3,1,2,0,2,3,3,1,1,1,5,3,1,1,2
5,5,5,63,1,2,7,1,3,2,4,1,2,5,2,4,3,1,2,8,1,1,2
4,4,6,46,1,2,2,2,2,1,3,1,6,5,2,1,1,1,2,1,5,4,9
5,7,7,67,1,2,5,2,3,3,5,1,7,2,4,4,1,2,2,7,1,1,1
4,5,6,54,1,2,4,1,3,3,4,0,2,2,4,4,1,1,4,4,1,2,3
7,7,7,41,2,2,3,2,3,1,1,0,2,2,4,1,1,1,5,3,5,2,3
3,2,2,42,3,3,1,2,2,1,2,1,7,2,4,1,1,1,3,2,4,2,3
5,5,6,35,1,4,3,2,3,3,3,0,2,4,3,3,4,2,4,7,4,4,8
6,7,7,51,1,2,1,1,2,3,3,0,5,2,4,2,1,2,3,7,1,2,4
7,7,7,82,1,2,5,2,3,3,3,1,8,6,2,3,1,2,2,7,1,3,5
7,7,7,45,2,2,7,2,2,2,5,1,8,6,2,2,1,2,2,7,1,3,7
6,5,6,53,1,2,99,2,2,2,2,1,8,6,2,2,1,1,2,4,1,2,4
3,3,5,58,3,3,5,3,1,3,4,1,6,2,4,3,1,1,4,2,4,1,2
6,6,6,49,1,2,7,2,2,5,5,1,4,3,3,5,1,2,2,9,1,1,1
6,4,1,50,1,2,4,2,2,1,3,1,8,6,2,3,1,1,2,7,1,2,3
7,6,7,69,1,2,3,3,3,3,3,0,2,4,2,3,2,2,1,1,1,3,5
5,5,5,58,1,1,6,1,3,3,3,1,3,6,2,3,1,1,1,3,4,2,3
4,7,7,41,2,4,99,2,3,1,2,1,2,3,3,3,4,2,2,1,4,3,5
5,5,6,42,2,2,4,2,3,2,2,0,2,4,3,2,4,1,3,7,3,1,1
1,4,4,42,2,1,98,2,3,2,2,0,99,4,3,2,1,2,3,1,3,3,7
5,6,5,40,1,2,98,2,2,5,3,1,1,4,3,5,1,1,4,4,1,3,7
6,7,7,85,2,1,99,1,3,2,2,1,3,3,3,2,2,1,2,1,4,2,3
6,6,7,59,1,2,6,2,2,3,4,0,3,4,3,3,1,2,4,9,1,1,2
6,6,6,85,2,2,5,1,3,5,5,0,8,5,2,4,1,1,3,8,1,4,8
6,6,6,51,2,2,5,2,3,2,2,0,8,7,2,2,1,1,1,6,1,1,2
6,5,5,47,1,2,3,2,2,2,5,1,2,3,3,5,1,2,2,8,1,1,1
6,6,6,48,3,3,99,3,1,3,3,-1,2,1,4,3,1,1,4,9,4,1,2
2,3,4,36,1,1,3,1,3,2,2,1,1,4,2,2,1,1,1,4,4,2,3
7,7,7,58,1,1,5,1,3,3,2,0,8,6,2,2,1,2,2,1,2,2,4
1,5,1,19,2,1,3,1,3,2,2,0,8,7,1,2,2,2,2,2,2,1,2
7,6,5,57,1,2,7,2,3,5,5,0,2,6,2,5,1,1,2,9,1,3,5
4,4,4,42,1,2,99,2,2,5,4,1,2,2,4,4,1,1,2,5,1,4,8
5,5,6,51,1,2,4,2,2,2,5,0,8,6,2,2,1,2,1,3,1,1,2
7,7,7,49,1,2,6,2,2,2,3,1,8,8,1,3,1,1,2,4,1,2,3
6,3,1,45,1,2,99,2,2,2,4,1,8,8,1,2,1,2,2,4,1,1,1
7,7,7,52,1,2,7,2,2,2,5,1,2,5,2,3,1,1,4,7,1,2,3
6,6,6,64,1,2,7,2,2,1,5,1,1,8,1,5,4,1,2,8,1,4,9
5,7,5,67,1,2,99,2,3,3,3,1,8,6,2,3,1,2,2,8,1,4,9
4,5,6,55,2,2,4,2,1,5,4,1,3,1,4,4,1,2,2,9,1,2,3
7,6,6,56,1,4,99,3,3,3,3,-1,8,8,1,3,2,2,4,8,2,3,5
6,6,5,54,1,2,99,2,2,2,4,1,8,7,1,4,1,2,2,8,1,2,3
6,6,5,51,1,2,7,2,3,3,5,0,8,6,2,5,1,2,2,8,1,3,5
7,7,7,51,1,2,5,2,3,3,5,0,3,2,4,5,1,2,3,9,1,2,3
7,5,7,49,1,2,7,2,3,4,4,1,8,6,2,3,1,1,1,1,1,4,9
7,7,7,45,1,1,7,1,2,3,5,1,2,6,2,5,1,2,1,9,3,2,3
7,7,6,41,1,2,99,2,2,2,3,1,8,6,2,2,1,2,2,6,1,1,1
5,5,5,48,1,2,6,2,3,3,4,1,2,2,4,4,3,1,2,7,1,3,5
6,7,7,53,1,2,99,2,3,5,4,0,2,4,3,4,1,1,4,9,1,1,1
4,2,7,32,1,1,3,1,3,2,2,1,8,6,2,2,1,2,1,1,2,3,6
6,6,7,40,1,2,5,1,3,1,4,-1,1,3,3,1,4,2,2,9,4,3,5
7,3,3,69,1,2,99,2,2,2,2,1,8,6,2,2,1,2,2,7,1,4,9
7,7,7,50,1,1,5,1,3,3,3,1,2,3,3,3,1,1,1,5,4,3,5
3,4,2,67,1,2,3,2,3,4,4,0,2,4,3,4,1,1,4,7,1,3,5
7,7,7,58,1,2,3,2,3,3,3,0,2,3,3,3,2,2,3,7,1,3,5
7,6,6,55,2,2,5,2,2,4,4,1,2,6,2,4,1,1,2,7,1,4,8
4,4,4,43,1,2,5,2,2,2,4,0,8,6,2,2,1,2,3,6,1,3,5
6,6,7,52,1,2,5,1,3,3,4,0,4,3,3,3,4,2,4,9,1,1,2
3,5,5,52,2,4,4,3,1,1,2,1,6,5,2,1,1,1,5,6,3,4,9
7,7,7,48,1,2,99,2,2,2,2,1,8,7,1,2,1,2,2,3,1,2,3
4,3,4,40,3,4,99,1,1,3,4,1,8,8,1,3,1,2,5,6,2,1,2
7,7,7,47,3,3,4,2,1,2,4,1,3,1,4,2,3,1,5,8,4,3,5
2,2,3,39,1,2,4,2,3,1,2,1,2,4,2,1,1,1,2,5,1,2,4
5,4,5,33,3,4,1,1,1,2,2,-1,2,5,2,2,3,2,2,1,2,3,7
2,3,5,44,1,1,2,1,3,2,3,1,2,3,3,3,1,2,1,3,4,1,2
5,5,5,57,1,2,4,2,2,4,4,1,8,6,2,4,1,1,2,3,1,3,5
7,6,6,54,1,2,6,2,3,3,5,0,2,5,2,5,1,1,2,9,1,4,9
6,6,6,43,1,2,5,2,2,4,4,1,2,3,3,4,1,1,2,9,1,3,5
6,5,4,41,1,2,6,2,2,4,4,0,8,8,1,4,1,1,2,3,1,3,5
7,4,7,65,1,2,7,2,3,2,5,1,8,6,2,5,1,2,2,8,1,1,2
7,7,7,65,1,2,7,2,2,4,4,0,2,3,3,4,1,1,3,9,1,3,5
7,7,7,49,2,2,5,2,2,2,2,1,1,4,3,2,1,2,1,4,1,4,9
6,6,4,58,1,2,6,2,3,2,5,1,8,6,2,5,1,2,2,8,1,3,5
2,4,6,60,3,3,99,1,1,3,3,1,7,1,4,1,1,2,4,3,4,1,2
7,7,7,57,2,1,99,1,3,1,1,1,2,6,2,2,4,2,1,1,3,3,5
6,6,4,37,2,1,3,1,3,5,5,1,3,8,1,5,2,2,1,3,2,4,9
4,5,5,33,2,4,4,2,2,1,2,1,2,4,2,2,4,2,4,5,2,1,2
4,4,4,30,2,1,1,1,3,1,1,0,6,2,4,1,1,2,4,1,3,3,5
7,7,7,55,1,1,6,-1,3,1,2,1,8,8,1,2,1,2,1,1,2,2,3
5,4,4,61,1,2,98,1,1,2,2,1,2,6,2,2,1,1,2,5,1,3,6
6,6,7,49,1,1,4,1,2,3,3,1,8,6,2,3,1,2,1,1,3,3,6
5,5,5,42,2,3,99,2,1,2,4,1,1,1,4,2,3,1,3,1,4,3,6
4,1,5,30,2,2,1,1,3,1,3,0,99,3,3,1,1,2,2,1,1,4,9
5,7,7,46,1,2,7,2,2,5,5,0,3,3,3,5,1,2,4,8,1,4,9
7,7,7,57,1,2,5,2,2,1,5,0,8,8,1,4,1,2,2,8,1,4,9
5,5,3,45,1,1,4,1,3,4,4,0,2,3,3,4,4,2,3,3,4,1,2
6,5,7,55,1,2,99,2,1,3,5,0,2,3,3,5,2,1,3,8,1,3,5
6,6,5,48,1,2,5,2,2,4,5,1,8,7,1,5,1,1,2,8,1,4,8
6,5,5,47,3,3,6,3,2,4,4,1,2,3,3,4,1,1,4,7,4,2,3
6,5,6,72,1,2,99,2,2,5,5,0,2,5,2,5,1,1,4,9,1,2,4
7,4,6,64,1,2,99,1,2,2,2,1,4,6,2,2,4,2,2,5,1,2,3
7,3,6,54,1,2,5,2,2,2,2,-1,8,8,1,1,1,2,2,2,1,2,3
7,7,7,53,1,2,1,1,1,1,4,0,4,3,3,1,4,2,5,3,1,3,7
6,6,6,38,1,1,4,1,3,5,5,0,2,4,3,5,4,2,1,6,3,4,9
5,4,5,42,1,2,5,2,2,4,4,1,2,4,2,4,1,2,2,8,1,1,2
5,5,7,29,3,3,4,3,1,5,5,1,5,1,4,2,3,2,5,8,4,3,5
5,5,4,69,2,4,7,2,2,4,4,1,2,3,3,4,1,1,2,9,5,2,3
7,7,7,55,3,3,2,2,1,3,3,1,5,1,4,2,4,2,3,4,4,3,7
1,1,1,16,2,4,2,3,3,1,1,1,6,4,3,3,1,1,3,6,3,1,1
6,6,5,74,1,2,6,2,3,5,5,1,8,5,2,5,1,1,2,4,1,2,3
4,5,5,43,1,2,4,2,3,4,4,1,3,6,2,4,1,1,2,5,1,2,3
1,1,1,24,3,3,1,2,1,2,2,1,7,3,3,2,1,2,3,2,3,1,2
5,5,5,44,1,2,4,2,3,2,4,0,2,4,2,2,1,1,4,6,1,1,1
7,7,7,69,1,2,99,2,3,5,4,1,1,3,3,3,1,1,2,6,1,1,2
7,6,6,48,1,5,1,1,3,2,3,0,1,2,4,2,4,2,5,1,1,3,7
5,5,6,38,1,2,4,2,2,2,3,1,8,8,1,2,1,2,2,2,1,1,2
5,5,7,60,1,1,5,1,3,2,2,1,8,8,1,2,1,2,1,1,2,3,6
7,7,7,70,1,2,5,2,3,5,5,1,2,5,2,5,1,2,2,9,1,3,7
6,7,6,61,1,2,7,1,2,2,3,0,4,4,2,2,1,2,2,6,1,2,3
6,6,7,41,3,2,4,2,3,2,2,1,8,7,1,2,2,2,3,6,1,1,2
4,4,5,42,1,1,3,1,3,5,5,0,2,3,3,5,2,2,3,5,4,3,5
6,5,4,50,3,2,99,2,2,4,4,1,2,2,4,4,1,2,4,8,5,2,3
6,6,4,31,3,3,1,2,1,2,2,-1,7,4,3,2,1,1,4,5,4,1,1
5,7,7,51,2,2,1,2,2,2,2,0,2,2,4,2,1,1,4,2,1,3,5
5,3,6,37,1,2,1,2,3,1,3,1,8,7,1,3,1,2,2,3,1,2,3
5,7,7,57,1,1,5,2,1,4,3,1,1,3,4,2,4,2,1,6,4,3,7
7,4,4,64,1,1,7,1,3,1,5,1,8,7,1,5,1,2,1,5,4,1,2
6,4,3,40,1,4,99,1,2,2,4,1,8,6,2,1,3,2,2,4,3,3,5
7,7,6,44,2,4,4,2,3,2,2,1,2,6,2,1,2,2,2,6,2,3,5
7,7,6,34,2,4,1,1,3,3,3,1,2,2,4,3,4,1,2,2,4,3,5
4,5,4,45,1,2,5,1,2,3,3,1,2,5,2,3,1,1,2,5,1,2,3
6,5,5,51,1,2,7,1,2,2,4,1,8,6,2,3,1,1,2,6,1,3,5
5,7,7,47,1,2,4,2,2,2,5,1,2,3,3,3,1,1,3,6,5,4,8
5,4,3,20,2,2,1,2,2,3,3,1,3,2,4,3,1,2,1,2,5,1,2
6,6,7,56,1,2,7,2,1,3,3,1,2,6,2,3,1,2,2,8,1,2,4
6,6,6,75,1,5,4,2,2,2,3,0,1,5,2,3,1,2,2,2,3,3,5
6,6,6,50,1,2,99,2,2,4,4,1,2,2,4,4,1,1,2,9,1,2,3
5,4,7,56,1,2,5,2,2,2,3,0,6,4,3,2,1,1,4,6,1,4,8
6,7,7,41,1,2,3,2,3,3,3,1,1,4,2,3,1,2,2,3,1,2,3
3,5,3,35,3,4,3,1,3,2,3,1,6,5,2,3,1,1,3,1,4,3,7
6,7,4,85,1,1,6,1,3,2,2,1,8,8,1,2,1,1,1,7,2,2,4
6,6,6,54,1,2,5,1,3,3,3,1,2,4,3,3,1,1,2,7,1,2,3
5,5,6,45,3,3,5,3,2,5,5,-1,2,2,4,5,1,1,5,7,4,2,3
7,7,7,67,1,2,5,2,2,5,4,1,2,2,4,4,1,1,2,6,1,4,8
5,6,7,51,2,1,99,1,3,4,4,0,2,4,3,3,4,1,1,3,3,1,2
5,4,4,56,2,2,4,2,2,2,3,1,2,2,4,3,1,1,2,3,1,2,4
6,6,6,57,1,2,7,2,3,5,5,1,8,6,2,5,1,1,2,3,1,3,5
6,4,7,48,1,1,7,1,3,3,3,1,8,6,2,3,1,2,1,5,4,3,5
-1,-1,7,46,2,4,3,2,2,3,4,1,2,2,4,3,4,1,2,2,4,3,5
6,3,7,42,1,2,4,2,2,2,3,0,8,4,3,4,3,2,2,7,1,2,4
6,5,6,42,1,2,4,2,3,2,5,0,2,5,2,3,1,2,3,7,1,2,3
3,6,7,38,2,2,99,1,1,2,2,1,2,4,3,2,2,2,2,2,5,3,5
6,6,6,65,3,2,7,2,2,5,5,1,2,3,4,5,3,1,2,9,5,3,5
6,6,6,57,1,2,7,2,3,3,3,-1,8,8,1,3,1,1,2,9,1,1,2
3,3,5,36,1,2,7,2,2,5,5,1,8,7,1,5,1,1,3,3,1,1,2
6,6,7,18,1,2,1,1,3,1,3,0,6,5,2,1,4,1,4,1,1,3,7
4,4,4,76,1,1,7,1,3,2,5,1,2,4,2,5,1,1,1,9,4,1,2
7,7,7,85,1,2,6,2,2,4,4,-1,2,3,3,4,2,2,2,9,1,1,2
7,7,7,61,1,2,7,1,2,5,5,0,2,3,3,5,1,1,2,9,1,3,5
6,6,6,48,1,5,6,1,3,3,4,1,4,8,1,3,1,2,2,5,2,3,6
6,6,4,46,2,2,7,3,2,5,4,1,2,3,3,4,1,2,3,8,1,4,9
6,7,7,66,1,1,7,1,3,4,4,1,8,8,1,4,1,1,2,8,1,3,5
7,4,1,56,1,2,5,1,3,5,5,1,8,5,2,5,1,2,2,8,1,4,8
2,7,4,44,2,2,2,2,2,2,2,0,2,4,3,2,1,1,2,4,3,2,3
7,5,6,49,1,2,7,2,3,3,3,-1,8,8,1,3,1,1,2,8,1,2,3
4,5,5,58,1,2,7,2,2,2,3,0,3,4,3,2,1,2,3,6,1,4,9
7,7,7,40,1,2,7,2,2,2,2,-1,8,7,2,2,1,2,2,5,1,3,6
6,6,6,70,1,2,4,2,2,5,5,0,2,4,3,5,1,2,4,9,1,2,3
4,2,4,47,1,2,7,2,2,3,5,1,8,6,2,2,1,1,2,3,1,3,6
6,5,4,48,1,2,7,2,1,5,5,1,2,5,2,5,1,1,3,9,1,1,2
5,4,3,55,1,1,6,1,3,4,4,1,2,4,3,4,2,2,2,7,3,4,9
5,2,5,49,2,2,4,2,2,2,3,0,4,4,2,2,1,2,4,2,1,2,3
5,5,4,45,1,2,7,2,2,3,3,-1,8,7,2,3,1,1,2,6,1,2,3
6,6,6,42,1,2,5,1,2,2,2,0,4,4,3,2,1,2,2,4,1,1,2
6,6,4,59,1,2,6,2,2,4,4,1,8,6,2,4,1,1,2,6,1,2,3
5,5,7,42,3,3,6,1,1,5,5,1,2,1,4,4,1,2,4,8,4,3,5
6,6,7,47,1,2,7,2,3,4,5,0,2,5,2,5,1,2,4,9,1,3,5
4,5,5,56,1,2,5,2,2,5,5,0,2,2,4,5,1,2,3,9,1,1,2
6,6,6,56,1,2,4,2,3,5,5,-1,2,5,2,5,1,1,4,7,1,2,3
3,3,4,34,1,2,4,2,2,4,4,0,2,4,3,4,1,1,2,7,1,3,5
4,4,3,22,2,1,3,1,3,3,3,-1,8,8,1,3,1,2,2,2,2,1,2
6,6,6,59,1,2,7,2,1,5,5,0,2,4,3,5,1,1,3,8,1,3,5
3,3,6,31,2,3,1,3,3,2,2,0,1,3,3,2,1,1,2,1,4,2,3
7,5,7,51,1,2,99,2,2,2,2,1,8,7,1,2,1,1,2,1,1,3,5
7,7,7,82,3,4,98,1,1,3,3,1,7,1,4,3,2,2,2,1,4,3,5
7,7,7,57,1,2,6,2,3,3,3,1,2,6,2,3,2,1,2,9,1,4,9
4,3,2,30,1,1,5,1,3,2,4,1,8,8,1,4,4,1,2,5,3,3,5
6,6,6,48,1,2,6,2,2,2,3,1,2,5,2,2,1,2,2,8,1,3,7
2,5,5,46,2,1,3,1,3,2,2,1,2,4,3,2,1,1,2,3,1,1,2
5,6,6,52,1,1,4,1,3,5,5,0,2,3,3,5,1,1,3,4,4,3,6
7,5,6,60,1,2,7,2,2,5,5,1,8,6,2,4,1,1,2,8,1,1,2
7,7,6,67,2,2,3,2,2,4,4,0,2,3,3,4,4,1,2,7,3,1,2
5,4,5,57,1,2,7,2,2,3,5,-1,8,6,2,4,1,2,2,7,1,3,5
6,6,5,57,3,2,7,2,2,5,4,-1,2,6,2,3,1,2,2,5,3,4,8
-1,-1,-1,47,1,2,5,2,2,4,4,0,2,3,3,4,1,1,4,7,1,2,3
6,7,7,44,2,2,5,2,2,3,5,1,2,2,4,5,1,2,2,8,1,3,5
3,3,4,31,1,2,3,2,3,2,2,1,2,5,2,3,1,1,2,4,1,3,5
5,5,4,47,3,4,5,2,2,3,3,1,6,6,2,3,1,1,2,4,3,3,6
5,5,5,55,2,3,4,3,1,2,3,1,5,1,4,3,4,1,3,2,4,4,9
3,6,6,30,2,1,4,1,3,4,3,1,2,3,3,3,1,1,1,6,3,1,1
6,6,5,53,1,2,99,2,3,2,3,-1,8,6,2,3,4,2,2,5,1,1,2
7,7,7,80,1,2,7,2,3,3,4,1,8,6,2,3,1,2,2,5,1,4,8
7,7,6,43,1,2,4,2,1,2,2,1,8,6,2,2,1,1,2,3,1,4,8
5,3,5,54,1,2,6,1,3,3,4,0,2,2,4,4,1,1,3,4,1,1,1
6,5,4,50,1,2,6,2,2,1,5,1,8,8,1,5,2,1,1,8,1,3,5
3,3,1,51,1,2,6,1,3,5,5,1,2,4,3,5,1,1,2,7,1,4,9
6,4,7,52,1,4,6,1,3,3,4,1,8,8,1,2,1,1,5,8,1,3,5
6,6,6,56,2,2,5,2,2,4,4,1,2,2,4,4,1,1,2,5,5,2,3
7,7,6,63,1,2,5,2,2,4,5,0,3,4,3,3,1,2,3,5,1,4,8
4,4,4,42,2,2,3,3,3,2,2,0,7,2,4,2,1,2,3,4,1,3,5
5,5,5,51,2,2,6,1,2,5,5,0,2,2,4,5,1,1,3,6,1,3,5
7,7,5,54,1,2,5,2,2,2,3,1,8,6,2,3,1,1,2,6,1,4,9
5,5,4,32,1,2,5,1,2,3,3,0,8,6,2,3,1,2,2,8,1,1,2
5,6,4,56,1,2,7,2,3,5,5,1,8,8,1,4,1,2,2,7,1,3,7
6,6,4,50,3,2,7,2,2,3,5,1,8,8,1,3,2,1,1,7,1,2,3
6,6,7,46,1,2,98,2,3,5,5,1,8,8,1,5,4,1,2,1,1,3,5
5,5,5,42,2,1,3,1,3,2,3,0,2,4,3,3,1,2,2,5,3,4,9
5,3,4,64,1,2,6,2,2,2,4,0,4,5,2,4,1,2,3,9,1,4,9
6,5,6,47,1,2,99,1,3,2,2,1,4,5,2,2,1,2,2,6,1,1,2
6,4,5,42,1,2,6,2,2,4,5,1,2,5,2,4,1,2,2,9,5,3,7
7,6,6,48,1,2,4,2,3,2,3,-1,8,7,1,3,1,2,2,5,1,1,2
6,6,5,50,1,2,7,2,2,3,5,0,2,5,2,5,1,1,3,9,1,3,5
5,5,6,54,1,1,5,1,3,1,2,1,8,6,2,2,1,1,1,2,3,3,6
6,7,5,38,2,2,7,1,-1,1,3,0,2,4,3,4,4,1,2,7,1,1,2
4,6,7,37,2,4,3,3,3,3,3,1,1,2,4,3,1,2,3,6,5,2,3
6,3,3,43,2,1,4,1,3,1,3,-1,8,8,1,3,1,2,1,3,3,3,7
6,6,4,50,1,2,99,2,2,1,4,1,8,6,2,4,2,2,3,8,1,1,2
5,6,7,65,1,2,7,2,3,2,4,1,8,8,1,4,1,1,2,4,1,3,5
5,6,6,56,1,2,98,2,3,2,5,0,3,3,3,4,1,1,4,6,1,2,4
5,6,6,42,1,2,2,1,3,2,3,0,2,5,2,3,1,2,3,7,3,1,2
5,6,4,43,1,2,4,2,2,1,5,0,2,4,2,5,2,1,5,9,1,3,5
3,5,5,41,3,2,6,2,2,3,3,1,7,8,1,2,4,1,2,2,1,3,5
6,6,3,45,1,2,7,2,2,2,3,1,8,7,1,3,1,2,2,7,1,2,4
7,7,7,73,2,1,6,1,3,2,4,1,2,1,4,4,1,1,1,6,4,1,2
5,5,7,47,2,2,4,2,1,4,4,1,2,2,4,4,1,1,2,8,1,1,2
7,7,6,57,1,2,99,2,2,3,3,1,8,6,2,3,3,1,1,5,1,4,8
7,5,4,53,1,2,99,2,2,4,5,1,8,8,1,4,1,2,2,8,1,1,1
5,5,5,82,1,2,7,1,3,4,4,0,2,2,4,4,1,1,3,9,1,1,1
7,6,6,49,1,1,7,1,3,3,3,-1,8,7,1,3,1,1,1,8,2,4,9
6,6,6,36,1,2,99,3,1,2,2,0,4,5,2,2,1,2,3,3,1,2,3
1,2,4,49,1,1,6,1,3,1,4,1,3,6,2,4,1,2,1,1,3,1,2
7,7,7,53,1,2,99,2,2,5,5,1,8,7,2,5,2,2,2,5,1,3,5
5,5,3,22,1,4,1,3,2,1,3,1,8,6,2,1,4,1,3,7,1,3,7
6,6,6,62,2,2,99,1,2,2,2,1,1,2,4,2,4,1,1,2,4,4,9
1,1,7,64,1,4,1,1,3,1,2,0,6,4,3,1,1,1,3,2,3,1,1
6,5,5,48,1,1,6,1,3,3,3,1,2,4,3,3,1,1,1,7,4,3,5
6,5,5,35,2,2,3,2,3,3,4,1,2,4,2,3,1,1,2,2,5,2,3
3,3,4,39,3,2,99,1,1,2,5,1,4,6,2,5,1,2,2,3,5,4,8
7,7,7,42,1,2,4,2,2,3,3,0,2,4,3,3,1,2,3,8,1,3,6
6,6,5,34,1,2,3,1,3,5,5,1,2,4,2,4,1,1,1,8,1,3,5
5,5,6,42,1,2,98,2,2,2,3,0,2,4,3,2,1,1,5,6,1,4,8
6,5,5,68,1,2,6,2,3,3,4,0,2,5,2,4,1,1,2,9,1,2,3
4,4,5,42,1,2,1,2,1,1,1,1,8,8,1,1,1,1,2,2,1,1,1
4,5,5,49,2,3,4,3,3,3,4,0,2,3,3,4,2,2,5,6,3,1,1
6,6,6,61,1,2,5,1,2,5,5,0,2,5,2,5,2,1,2,9,1,3,6
6,6,6,38,2,2,5,2,2,5,5,1,2,2,4,5,3,1,1,8,1,4,9
6,5,7,31,2,2,5,2,3,5,5,1,8,8,1,5,1,2,2,3,1,2,4
7,7,7,72,2,2,4,1,3,3,5,0,1,4,3,3,4,1,1,1,1,1,2
6,6,7,73,2,3,4,2,2,5,5,1,3,1,4,3,1,1,4,8,4,1,2
4,4,4,53,2,2,4,1,2,2,2,1,6,4,2,2,1,2,2,3,1,3,5
7,6,5,53,1,2,7,2,2,2,5,1,8,8,1,5,1,1,2,7,5,2,4
6,5,5,52,2,2,5,2,2,3,4,1,2,2,4,4,4,1,4,7,1,4,9
6,7,4,55,1,2,4,1,2,3,3,0,4,4,3,3,2,2,4,7,1,3,5
6,6,6,41,1,2,99,1,2,3,3,0,8,8,1,3,1,2,1,4,1,1,2
5,6,5,43,1,1,4,1,3,5,5,-1,8,7,2,5,1,2,1,5,2,4,9
5,5,5,42,3,4,99,3,-1,2,2,1,2,2,4,2,1,1,3,1,4,4,9
3,4,1,57,3,3,3,2,1,3,3,1,2,2,4,3,2,2,1,1,4,2,3
4,6,6,50,1,4,5,1,3,4,4,0,2,3,3,4,1,2,3,5,3,3,7
7,6,6,70,1,2,7,-1,3,2,5,1,8,8,1,5,1,1,1,8,1,3,5
7,7,7,71,2,1,99,1,3,4,4,1,5,2,4,4,1,2,1,6,4,2,4
6,6,5,48,1,2,4,2,3,5,3,0,1,3,3,3,1,1,5,8,1,4,9
5,7,7,53,3,3,5,3,2,4,5,1,2,1,4,4,2,2,3,8,4,3,6
6,6,6,51,1,2,99,2,3,3,5,0,2,4,2,3,1,1,3,8,1,2,3
4,4,5,41,1,1,3,1,3,4,4,1,2,2,4,4,1,1,1,5,4,4,8
6,6,6,58,1,2,4,1,2,5,5,0,8,4,3,5,1,1,5,8,1,3,5
7,5,4,69,1,5,99,1,3,2,5,1,1,8,1,5,2,2,3,7,2,3,5
6,5,6,51,1,2,3,2,3,2,2,1,2,2,4,2,1,2,2,5,1,2,3
5,5,6,42,2,2,4,2,2,3,3,1,99,3,3,4,1,1,1,3,5,1,1
3,4,4,42,1,2,7,1,1,2,2,1,4,5,2,2,1,2,2,8,1,4,8
3,2,1,52,1,1,99,1,3,2,2,1,8,6,2,2,1,2,1,2,3,4,9
6,7,7,43,2,1,99,1,3,3,3,1,3,2,4,3,2,2,1,2,4,2,4
7,7,7,31,2,1,3,1,3,2,2,1,2,4,3,1,4,2,1,4,4,1,2
4,5,4,62,2,1,3,1,3,1,4,1,8,6,2,4,1,1,1,1,4,4,8
7,7,7,56,3,4,6,3,2,5,5,0,2,2,4,5,1,2,4,7,1,3,5
7,7,7,77,2,2,5,2,2,3,3,1,2,1,4,3,4,2,2,6,1,3,7
5,6,6,40,2,2,4,2,3,4,5,0,5,2,4,5,1,1,4,6,1,2,3
6,7,5,37,2,2,5,2,2,4,5,1,2,2,4,5,1,2,2,8,5,2,3
6,6,6,40,1,2,3,2,1,3,3,0,2,3,3,3,1,1,4,7,1,2,3
6,6,4,45,1,2,5,2,1,1,5,-1,3,6,2,5,1,2,2,7,1,4,8
7,7,7,55,2,4,99,1,3,5,4,1,2,1,4,4,1,1,2,7,4,1,2
7,7,7,37,1,2,1,2,-1,2,5,-1,1,4,2,2,1,1,2,5,1,2,4
6,6,6,44,1,2,6,2,3,2,2,-1,3,6,2,2,1,1,2,3,1,1,2
7,7,7,51,2,2,4,2,1,3,3,1,3,3,3,3,1,1,3,1,3,3,6
7,7,4,52,1,2,99,2,2,-1,3,0,8,7,1,3,3,1,2,7,1,3,5
6,6,7,41,2,2,99,2,2,-1,-1,-1,2,3,3,1,4,1,4,1,1,4,9
6,5,5,54,1,2,5,1,3,3,3,0,2,4,3,3,2,1,4,4,1,1,2
4,5,6,44,2,2,2,2,3,3,3,0,2,2,4,3,1,2,4,5,1,3,5
3,4,5,38,1,4,3,3,3,3,3,1,2,4,2,3,3,1,3,7,3,1,1
5,6,7,55,1,2,99,1,3,2,5,0,2,2,4,5,1,1,2,7,1,3,6
7,6,6,67,1,2,7,2,2,5,5,1,3,2,4,4,1,2,4,9,4,4,9
5,5,5,56,1,5,99,2,3,3,4,1,2,1,4,3,3,2,2,3,3,4,9
6,6,3,55,1,2,3,2,3,3,4,1,8,6,2,4,1,1,2,7,1,3,6
6,6,5,49,1,2,5,2,2,4,4,1,2,5,2,4,1,2,2,8,1,4,9
4,6,6,55,2,3,2,1,1,3,3,1,3,1,4,2,1,1,3,5,4,4,9
