SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
7,3,6,51,1,2,4,2,2,3,3,0,2,4,2,3,1,2,3,9,1,1,2
6,4,4,49,1,2,7,2,2,2,5,1,8,8,1,5,1,2,2,6,1,2,4
6,2,4,43,1,2,5,2,3,2,2,1,3,5,2,2,1,1,2,5,1,3,5
6,6,5,44,1,2,6,2,3,2,2,1,2,6,2,2,2,1,2,6,1,3,7
7,7,5,41,1,2,5,2,3,3,4,1,8,6,2,2,1,2,2,9,1,3,5
7,7,7,79,2,2,99,1,3,3,3,0,2,3,3,3,1,1,4,3,1,3,5
6,5,4,37,1,2,7,2,1,3,3,0,6,6,2,3,4,1,3,5,1,4,9
6,6,6,44,1,2,6,2,2,5,5,0,2,3,3,5,1,2,4,8,1,1,1
6,6,6,61,1,2,5,2,2,3,5,0,2,3,3,3,1,2,3,8,1,3,5
7,7,7,64,2,2,6,2,3,5,5,1,8,6,2,5,1,1,2,9,1,3,5
5,5,6,47,1,2,6,2,2,3,4,0,2,2,4,4,1,1,4,9,1,3,7
4,4,5,55,2,2,2,1,3,1,2,1,2,2,4,1,4,2,2,3,5,3,7
5,5,6,48,1,2,4,2,2,2,4,1,2,4,2,4,1,1,2,9,1,3,5
3,4,2,37,1,1,99,1,3,3,3,1,8,6,2,3,1,2,1,4,4,3,5
6,6,6,60,1,2,7,2,2,4,4,1,8,8,1,4,1,2,2,9,1,2,3
7,4,6,67,1,2,6,2,2,3,5,0,2,3,3,4,1,1,4,8,1,3,6
6,6,6,57,1,2,7,2,3,2,4,1,8,7,1,4,1,1,2,7,1,3,6
6,6,7,55,1,2,5,2,3,5,5,1,1,5,2,5,1,2,1,9,1,1,2
7,7,7,58,1,2,4,2,3,4,4,0,2,2,4,4,1,1,3,6,1,2,3
6,6,5,51,1,2,7,2,1,5,5,0,3,6,2,5,1,2,2,8,1,3,5
7,7,7,79,2,1,2,1,1,2,2,1,6,3,3,2,1,1,5,1,4,4,9
6,6,7,42,1,2,5,1,2,2,4,1,8,8,1,2,1,2,2,8,1,1,2
7,7,7,77,1,2,5,2,2,5,5,1,8,8,1,5,1,1,2,9,2,4,8
5,5,5,46,1,2,5,1,3,4,5,1,2,6,2,4,1,1,2,8,1,2,3
3,5,6,59,2,2,7,2,3,4,5,0,3,3,3,4,1,2,3,9,1,3,5
7,6,6,46,1,2,99,2,1,4,4,1,8,7,1,4,1,1,3,4,1,3,5
